NAME                       	NAMESPACE          	REVISION	UPDATED                                	STATUS  	CHART                              	APP VERSION                 
queen-agent                	neural-hive        	39      	2026-04-29 13:00:17.359470504 +0000 UTC	failed  	queen-agent-0.1.0                  	1.0.0                       
redis-cluster              	redis-cluster      	1       	2025-11-19 09:11:00.660917002 +0100 WAT	deployed	redis-cluster-0.1.0                	7.0.5                       
redis-operator             	redis-operator     	1       	2025-11-19 09:00:26.734651885 +0100 WAT	deployed	redis-operator-0.22.2              	0.22.2                      
registry                   	registry           	1       	2025-12-04 15:17:29.323925919 +0100 WAT	deployed	docker-registry-1.0.0              	2.8.3                       
requirements-engineering   	neural-hive        	1       	2026-04-23 15:32:03.996292802 +0000 UTC	failed  	requirements-engineering-1.0.0     	1.0.0                       
requirements-engineering   	neural-hive-mind   	6       	2026-04-23 11:01:02.955437452 +0100 WAT	deployed	requirements-engineering-1.0.0     	1.0.0                       
scout-mcp-server           	neural-hive-mcp    	7       	2026-03-18 15:45:22.433748953 +0100 WAT	failed  	scout-mcp-server-1.0.0             	1.0.0                       
self-healing-engine        	neural-hive        	35      	2026-04-18 18:51:22.765429717 +0000 UTC	failed  	self-healing-engine-1.0.0          	1.0.0                       
semantic-translation-engine	neural-hive        	42      	2026-03-25 09:18:07.47374445 +0000 UTC 	deployed	semantic-translation-engine-0.1.0  	1.0.0                       
service-registry           	neural-hive        	49      	2026-03-27 16:04:01.272344132 +0000 UTC	deployed	service-registry-1.0.0             	1.0.0                       
sla-management-system      	neural-hive        	18      	2026-03-25 08:57:12.084565961 +0000 UTC	failed  	sla-management-system-1.0.0        	1.0.0                       
specialist-architecture    	neural-hive        	12      	2026-02-18 22:21:27.404223256 +0100 WAT	failed  	specialist-architecture-0.1.8      	1.0.8                       
specialist-behavior        	neural-hive        	11      	2026-02-16 21:37:25.594121129 +0100 WAT	deployed	specialist-behavior-0.1.8          	1.0.8                       
specialist-business        	neural-hive        	13      	2026-02-16 21:36:48.116143304 +0100 WAT	deployed	specialist-business-0.1.8          	1.0.8                       
specialist-evolution       	neural-hive        	11      	2026-02-16 21:37:46.055046381 +0100 WAT	deployed	specialist-evolution-0.1.8         	1.0.8                       
specialist-technical       	neural-hive        	11      	2026-02-16 21:37:08.461793672 +0100 WAT	deployed	specialist-technical-0.1.8         	1.0.8                       
temporal                   	temporal           	2       	2025-11-27 09:20:49.565609199 +0100 WAT	deployed	temporal-0.72.0                    	1.29.1                      
temporal-postgresql        	temporal           	1       	2025-11-27 09:12:56.430359066 +0100 WAT	deployed	postgresql-18.1.13                 	18.1.0                      
test-generation            	neural-hive-mind   	3       	2026-04-23 11:00:43.530206749 +0100 WAT	deployed	test-generation-1.0.0              	1.0.0                       
test-generation            	neural-hive        	1       	2026-04-29 21:10:25.956795528 +0000 UTC	failed  	test-generation-1.0.0              	1.0.0                       
velero                     	velero             	1       	2025-12-09 22:01:55.622777348 +0100 WAT	deployed	velero-11.2.0                      	1.17.1                      
worker-agents              	neural-hive        	57      	2026-03-27 15:33:41.883870013 +0000 UTC	deployed	worker-agents-1.0.0                	1.0.0                       
